/home/Awei/miniconda3/envs/passage_prep_py312/lib/python3.12/site-packages/transformers/utils/hub.py:110: FutureWarning: Using `TRANSFORMERS_CACHE` is deprecated and will be removed in v5 of Transformers. Use `HF_HOME` instead.
  warnings.warn(
[2026-04-27T04:22:10] loading verifier=phi4_mini_reasoning on cuda; pairs=11
`torch_dtype` is deprecated! Use `dtype` instead!
Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards: 100%|██████████| 2/2 [00:00<00:00, 295.56it/s]
pair=qwen14_deriv_sum_zh_402_bad_403_valid prompt=en order=bad_A target=A pred=B margin=-2.375
pair=qwen14_deriv_sum_zh_402_bad_403_valid prompt=en order=bad_B target=B pred=A margin=-1.084
pair=qwen14_deriv_sum_zh_402_bad_403_valid prompt=zh order=bad_A target=A pred=A margin=1.783
pair=qwen14_deriv_sum_zh_402_bad_403_valid prompt=zh order=bad_B target=B pred=A margin=-2.408
pair=qwen14_disc75_en_zh_358_bad_359_valid prompt=en order=bad_A target=A pred=B margin=-5.392
pair=qwen14_disc75_en_zh_358_bad_359_valid prompt=en order=bad_B target=B pred=B margin=1.117
pair=qwen14_disc75_en_zh_358_bad_359_valid prompt=zh order=bad_A target=A pred=B margin=-3.739
pair=qwen14_disc75_en_zh_358_bad_359_valid prompt=zh order=bad_B target=B pred=A margin=-1.185
pair=qwen14_dabazhe_zh_en_445_bad_442_valid prompt=en order=bad_A target=A pred=A margin=0.563
pair=qwen14_dabazhe_zh_en_445_bad_442_valid prompt=en order=bad_B target=B pred=B margin=0.375
pair=qwen14_dabazhe_zh_en_445_bad_442_valid prompt=zh order=bad_A target=A pred=A margin=1.027
pair=qwen14_dabazhe_zh_en_445_bad_442_valid prompt=zh order=bad_B target=B pred=A margin=-1.938
pair=qwen14_dabazhe_wrong_zh_en_444_bad_440_valid prompt=en order=bad_A target=A pred=B margin=-8.570
pair=qwen14_dabazhe_wrong_zh_en_444_bad_440_valid prompt=en order=bad_B target=B pred=B margin=2.125
pair=qwen14_dabazhe_wrong_zh_en_444_bad_440_valid prompt=zh order=bad_A target=A pred=B margin=-3.870
pair=qwen14_dabazhe_wrong_zh_en_444_bad_440_valid prompt=zh order=bad_B target=B pred=A margin=-2.312
pair=qwen35_discount_zh_234_bad_235_valid prompt=en order=bad_A target=A pred=A margin=0.111
pair=qwen35_discount_zh_234_bad_235_valid prompt=en order=bad_B target=B pred=B margin=0.270
pair=qwen35_discount_zh_234_bad_235_valid prompt=zh order=bad_A target=A pred=A margin=1.246
pair=qwen35_discount_zh_234_bad_235_valid prompt=zh order=bad_B target=B pred=A margin=-3.312
pair=qwen35_ratio_zh_en_261_bad_260_valid prompt=en order=bad_A target=A pred=A margin=2.456
pair=qwen35_ratio_zh_en_261_bad_260_valid prompt=en order=bad_B target=B pred=B margin=3.762
pair=qwen35_ratio_zh_en_261_bad_260_valid prompt=zh order=bad_A target=A pred=A margin=2.099
pair=qwen35_ratio_zh_en_261_bad_260_valid prompt=zh order=bad_B target=B pred=B margin=6.670
pair=qwen35_qiwuzhe_zh_en_229_bad_225_valid prompt=en order=bad_A target=A pred=B margin=-3.885
pair=qwen35_qiwuzhe_zh_en_229_bad_225_valid prompt=en order=bad_B target=B pred=B margin=4.467
pair=qwen35_qiwuzhe_zh_en_229_bad_225_valid prompt=zh order=bad_A target=A pred=B margin=-1.445
pair=qwen35_qiwuzhe_zh_en_229_bad_225_valid prompt=zh order=bad_B target=B pred=A margin=-1.504
pair=qwen35_product_en_296_bad_297_valid prompt=en order=bad_A target=A pred=B margin=-5.367
pair=qwen35_product_en_296_bad_297_valid prompt=en order=bad_B target=B pred=B margin=4.626
pair=qwen35_product_en_296_bad_297_valid prompt=zh order=bad_A target=A pred=A margin=2.206
pair=qwen35_product_en_296_bad_297_valid prompt=zh order=bad_B target=B pred=B margin=3.913
pair=phi_deriv_zh_178_bad_182_valid prompt=en order=bad_A target=A pred=B margin=-4.007
pair=phi_deriv_zh_178_bad_182_valid prompt=en order=bad_B target=B pred=B margin=2.375
pair=phi_deriv_zh_178_bad_182_valid prompt=zh order=bad_A target=A pred=A margin=0.000
pair=phi_deriv_zh_178_bad_182_valid prompt=zh order=bad_B target=B pred=B margin=0.375
pair=phi_deriv_en_zh_183_bad_182_valid prompt=en order=bad_A target=A pred=B margin=-1.625
pair=phi_deriv_en_zh_183_bad_182_valid prompt=en order=bad_B target=B pred=B margin=3.636
pair=phi_deriv_en_zh_183_bad_182_valid prompt=zh order=bad_A target=A pred=A margin=0.625
pair=phi_deriv_en_zh_183_bad_182_valid prompt=zh order=bad_B target=B pred=B margin=1.000
pair=phi_frac_en_208_bad_209_valid prompt=en order=bad_A target=A pred=B margin=-5.500
pair=phi_frac_en_208_bad_209_valid prompt=en order=bad_B target=B pred=B margin=3.305
pair=phi_frac_en_208_bad_209_valid prompt=zh order=bad_A target=A pred=A margin=1.750
pair=phi_frac_en_208_bad_209_valid prompt=zh order=bad_B target=B pred=A margin=-0.326
wrote results/E16_contrastive_pair_expansion/phi4_mini_reasoning_contrastive_acpi_verifier.json; rows=44 acc=0.568 mean_margin=-0.181
